Player,Draft_Year,Draft_Pick,VORP
Ryan Stack,1998,48,-20
Cory Carr,1998,49,-20
Andrew Betts,1998,50,-20
Corey Brewer,1998,51,-20
Derrick Dial,1998,52,-20
Greg Buckner,1998,53,5.8
Tremaine Fowlkes,1998,54,0
Ryan Bowen,1998,55,3.3
J.R. Henderson,1998,56,-20
Torraye Braggs,1998,57,-20
Maceo Baston,1998,58,-20
Elton Brand,1999,1,45.2
Steve Francis,1999,2,28.2
Baron Davis,1999,3,34.1
Lamar Odom,1999,4,36.3
Jonathan Bender,1999,5,-1.5
Wally Szczerbiak,1999,6,12.8
Richard Hamilton,1999,7,10.5
Andre Miller,1999,8,31.7
Shawn Marion,1999,9,52.1
Jason Terry,1999,10,33.8
Trajan Langdon,1999,11,0.1
Aleksandar Radojevic,1999,12,-20
Corey Maggette,1999,13,9.5
William Avery,1999,14,-1.6
Frederic Weis,1999,15,-20
Metta World Peace,1999,16,30
Cal Bowdler,1999,17,-0.9
James Posey,1999,18,18.8
Quincy Lewis,1999,19,-0.9
Dion Glover,1999,20,-0.7
Jeff Foster,1999,21,13
Kenny Thomas,1999,22,6.6
Devean George,1999,23,2.5
Andrei Kirilenko,1999,24,42.4
Tim James,1999,25,-20
Vonteego Cummings,1999,26,-0.9
Jumaine Jones,1999,27,2.4
Scott Padgett,1999,28,2.7
Leon Smith,1999,29,-20
John Celestand,1999,30,-20
Rico Hill,1999,31,-20
Michael Ruffin,1999,32,1.2
Chris Herren,1999,33,-0.9
Evan Eschmeyer,1999,34,0.5
Calvin Booth,1999,35,0.8
Wang Zhizhi,1999,36,-0.7
Obinna Ekezie,1999,37,-1.5
Laron Profit,1999,38,-0.5
A.J. Bramlett,1999,39,-20
Gordan Giricek,1999,40,-2.5
Francisco Elson,1999,41,0.8
Louis Bullock,1999,42,-20
Lee Nailon,1999,43,-1.5
Tyrone Washington,1999,44,-20
Ryan Robertson,1999,45,-20
J.R. Koch,1999,46,-20
Todd MacCulloch,1999,47,1.9
Galen Young,1999,48,-20
Lari Ketner,1999,49,-20
Venson Hamilton,1999,50,-20
Antwain Smith,1999,51,-20
Roberto Bergersen,1999,52,-20
Rodney Buford,1999,53,-2.8
Melvin Levett,1999,54,-20
Kris Clack,1999,55,-20
Tim Young,1999,56,-20
Manu Ginobili,1999,57,45.5
Eddie Lucas,1999,58,-20
Kenyon Martin,2000,1,15.5
Stromile Swift,2000,2,0.2
Darius Miles,2000,3,2.3
Marcus Fizer,2000,4,-4.1
Mike Miller,2000,5,20.4
DerMarr Johnson,2000,6,0.6
Chris Mihm,2000,7,-4.1
Jamal Crawford,2000,8,11.5
Joel Przybilla,2000,9,3.3
Keyon Dooling,2000,10,-3.6
Jerome Moiso,2000,11,-0.6
Etan Thomas,2000,12,-1
Courtney Alexander,2000,13,-2.1
Mateen Cleaves,2000,14,-2
Jason Collier,2000,15,-2.3
Hedo Turkoglu,2000,16,21.4
Desmond Mason,2000,17,-1.9
Quentin Richardson,2000,18,8.9
Jamaal Magloire,2000,19,-3.3
Speedy Claxton,2000,20,2.8
Morris Peterson,2000,21,9.7
Donnell Harvey,2000,22,-0.6
DeShawn Stevenson,2000,23,-4.6
Dalibor Bagaric,2000,24,-20
Jake Tsakalidis,2000,25,-1.3
Mamadou N'Diaye,2000,26,-20
Primoz Brezec,2000,27,-0.8
Erick Barkley,2000,28,-20
Mark Madsen,2000,29,-0.2
Marko Jaric,2000,30,4.3
Dan Langhi,2000,31,-1.5
A.J. Guyton,2000,32,-1.1
Jake Voskuhl,2000,33,-0.3
Khalid El-Amin,2000,34,-20
Mike Smith,2000,35,-20
Soumaila Samake,2000,36,-20
Eddie House,2000,37,1.6
Eduardo Najera,2000,38,6.4
Lavor Postell,2000,39,-20
Hanno Mottola,2000,40,-2.3
Chris Carrawell,2000,41,-20
Olumide Oyedeji,2000,42,-20
Michael Redd,2000,43,14.9
Brian Cardinal,2000,44,4.5
Jabari Smith,2000,45,-0.5
DeeAndre Hulett,2000,46,-20
Josip Sesar,2000,47,-20
Mark Karcher,2000,48,-20
Jason Hart,2000,49,0.3
Kaniel Dickens,2000,50,-20
Igor Rakocevic,2000,51,-20
Ernest Brown,2000,52,-20
Dan McClintock,2000,53,-20
Cory Hightower,2000,54,-20
Chris Porter,2000,55,-0.8
Jaquay Walls,2000,56,-20
Scoonie Penn,2000,57,-20
Pete Mickeal,2000,58,-20
Kwame Brown,2001,1,-0.4
Tyson Chandler,2001,2,26.2
Pau Gasol,2001,3,51.8
Eddy Curry,2001,4,-5
Jason Richardson,2001,5,24.4
Shane Battier,2001,6,37
Eddie Griffin,2001,7,1.7
DeSagana Diop,2001,8,4.3
Rodney White,2001,9,-1.5
Joe Johnson,2001,10,26.2
Kedrick Brown,2001,11,-0.1
Vladimir Radmanovic,2001,12,7.7
Richard Jefferson,2001,13,20.1
Troy Murphy,2001,14,9.5
Steven Hunter,2001,15,-1.3
Kirk Haston,2001,16,-20
Michael Bradley,2001,17,-0.9
Jason Collins,2001,18,0.2
Zach Randolph,2001,19,13.5
Brendan Haywood,2001,20,8.4
Joseph Forte,2001,21,-20
Jeryl Sasser,2001,22,-0.2
Brandon Armstrong,2001,23,-20
Raul Lopez,2001,24,-0.8
Gerald Wallace,2001,25,27.3
Samuel Dalembert,2001,26,7.2
Jamaal Tinsley,2001,27,5.7
Tony Parker,2001,28,27.5
Trenton Hassell,2001,29,-1.3
Gilbert Arenas,2001,30,24.1
Omar Cook,2001,31,-20
Will Solomon,2001,32,-1.1
Terence Morris,2001,33,-0.8
Brian Scalabrine,2001,34,-1.1
Jeff Trepagnier,2001,35,-20
Damone Brown,2001,36,-20
Mehmet Okur,2001,37,15.7
Michael Wright,2001,38,-20
