Date,Mobile Operating System,Percent of Usage
5/1/10,Android,3.94
5/1/10,iOS,29.01
5/1/10,SymbianOS,32.92
5/1/10,Series 40,0
5/1/10,BlackBerry OS,14.15
5/1/10,Samsung,2.86
5/1/10,Unknown,9.09
5/1/10,Windows Phone,0
5/1/10,Sony Ericsson,5.9
5/1/10,Linux,0
5/1/10,bada,0
5/1/10,Nokia Unknown,0
5/1/10,LG,0.07
5/1/10,Playstation,1.02
5/1/10,WinCE,0.17
5/1/10,Nintendo 3DS,0
5/1/10,Nintendo,0.25
5/1/10,webOS,0.52
5/1/10,WinXP,0.02
5/1/10,Brew,0
5/1/10,Motorola,0
5/1/10,Win7,0
5/1/10,MeeGo,0
5/1/10,Maemo 5,0
5/1/10,WinVista,0
5/1/10,Other,0.07
6/1/10,Android,3.95
6/1/10,iOS,26.66
6/1/10,SymbianOS,33.39
6/1/10,Series 40,0
6/1/10,BlackBerry OS,14.98
6/1/10,Samsung,3.34
6/1/10,Unknown,9.81
6/1/10,Windows Phone,0
6/1/10,Sony Ericsson,5.79
6/1/10,Linux,0
6/1/10,bada,0
6/1/10,Nokia Unknown,0
6/1/10,LG,0.07
6/1/10,Playstation,1.02
6/1/10,WinCE,0.15
6/1/10,Nintendo 3DS,0
6/1/10,Nintendo,0.25
6/1/10,webOS,0.52
6/1/10,WinXP,0.02
6/1/10,Brew,0
6/1/10,Motorola,0
6/1/10,Win7,0
6/1/10,MeeGo,0
6/1/10,Maemo 5,0
6/1/10,WinVista,0
6/1/10,Other,0.06
7/1/10,Android,7.91
7/1/10,iOS,26.05
7/1/10,SymbianOS,32.04
7/1/10,Series 40,0
7/1/10,BlackBerry OS,16.45
7/1/10,Samsung,2.93
7/1/10,Unknown,6.77
7/1/10,Windows Phone,0
7/1/10,Sony Ericsson,5.47
7/1/10,Linux,0
7/1/10,bada,0
7/1/10,Nokia Unknown,0
7/1/10,LG,0.15
7/1/10,Playstation,0.92
7/1/10,WinCE,0.38
7/1/10,Nintendo 3DS,0
7/1/10,Nintendo,0.24
7/1/10,webOS,0.51
7/1/10,WinXP,0.02
7/1/10,Brew,0
7/1/10,Motorola,0
7/1/10,Win7,0
7/1/10,MeeGo,0
7/1/10,Maemo 5,0
7/1/10,WinVista,0
7/1/10,Other,0.16
8/1/10,Android,9.22
8/1/10,iOS,25.71
8/1/10,SymbianOS,31.54
8/1/10,Series 40,0
8/1/10,BlackBerry OS,16.95
8/1/10,Samsung,2.85
8/1/10,Unknown,6.16
8/1/10,Windows Phone,0
8/1/10,Sony Ericsson,5.43
8/1/10,Linux,0
8/1/10,bada,0
8/1/10,Nokia Unknown,0
8/1/10,LG,0.16
8/1/10,Playstation,0.7
8/1/10,WinCE,0.38
8/1/10,Nintendo 3DS,0
8/1/10,Nintendo,0.23
8/1/10,webOS,0.45
8/1/10,WinXP,0.02
8/1/10,Brew,0
8/1/10,Motorola,0
8/1/10,Win7,0
8/1/10,MeeGo,0
8/1/10,Maemo 5,0
8/1/10,WinVista,0
8/1/10,Other,0.19
9/1/10,Android,9.79
9/1/10,iOS,22.85
9/1/10,SymbianOS,32.69
9/1/10,Series 40,0
9/1/10,BlackBerry OS,17.9
9/1/10,Samsung,2.96
9/1/10,Unknown,6.59
9/1/10,Windows Phone,0
9/1/10,Sony Ericsson,5.61
9/1/10,Linux,0
9/1/10,bada,0
9/1/10,Nokia Unknown,0
9/1/10,LG,0.13
9/1/10,Playstation,0.46
9/1/10,WinCE,0.34
9/1/10,Nintendo 3DS,0
9/1/10,Nintendo,0.15
9/1/10,webOS,0.35
9/1/10,WinXP,0.02
9/1/10,Brew,0
9/1/10,Motorola,0
9/1/10,Win7,0
9/1/10,MeeGo,0
9/1/10,Maemo 5,0
9/1/10,WinVista,0
9/1/10,Other,0.16
10/1/10,Android,10.67
10/1/10,iOS,22.45
10/1/10,SymbianOS,32.83
10/1/10,Series 40,0
10/1/10,BlackBerry OS,18.19
10/1/10,Samsung,2.83
10/1/10,Unknown,5.91
10/1/10,Windows Phone,0
10/1/10,Sony Ericsson,5.54
10/1/10,Linux,0
10/1/10,bada,0
10/1/10,Nokia Unknown,0
10/1/10,LG,0.12
10/1/10,Playstation,0.4
10/1/10,WinCE,0.49
10/1/10,Nintendo 3DS,0
10/1/10,Nintendo,0.13
10/1/10,webOS,0.31
10/1/10,WinXP,0.01
10/1/10,Brew,0
10/1/10,Motorola,0
10/1/10,Win7,0
10/1/10,MeeGo,0
10/1/10,Maemo 5,0
10/1/10,WinVista,0
10/1/10,Other,0.13
11/1/10,Android,11.61
11/1/10,iOS,21.94
11/1/10,SymbianOS,31.93
11/1/10,Series 40,0
11/1/10,BlackBerry OS,19.25
11/1/10,Samsung,3.49
11/1/10,Unknown,5.32
11/1/10,Windows Phone,0
11/1/10,Sony Ericsson,4.9
11/1/10,Linux,0
11/1/10,bada,0
11/1/10,Nokia Unknown,0
11/1/10,LG,0.12
11/1/10,Playstation,0.37
11/1/10,WinCE,0.44
11/1/10,Nintendo 3DS,0
11/1/10,Nintendo,0.13
11/1/10,webOS,0.29
11/1/10,WinXP,0
11/1/10,Brew,0
11/1/10,Motorola,0
11/1/10,Win7,0
11/1/10,MeeGo,0
11/1/10,Maemo 5,0.1
11/1/10,WinVista,0
11/1/10,Other,0.11
12/1/10,Android,13.6
12/1/10,iOS,23.57
12/1/10,SymbianOS,29.66
12/1/10,Series 40,0
12/1/10,BlackBerry OS,18.04
12/1/10,Samsung,4.05
12/1/10,Unknown,5.13
12/1/10,Windows Phone,0
12/1/10,Sony Ericsson,4.32
12/1/10,Linux,0
12/1/10,bada,0
12/1/10,Nokia Unknown,0
12/1/10,LG,0.12
12/1/10,Playstation,0.42
12/1/10,WinCE,0.4
12/1/10,Nintendo 3DS,0
12/1/10,Nintendo,0.15
12/1/10,webOS,0.28
12/1/10,WinXP,0
12/1/10,Brew,0
12/1/10,Motorola,0
12/1/10,Win7,0
12/1/10,MeeGo,0
12/1/10,Maemo 5,0.14
12/1/10,WinVista,0
12/1/10,Other,0.1
1/1/11,Android,14.61
1/1/11,iOS,25.02
1/1/11,SymbianOS,30.25
1/1/11,Series 40,0
1/1/11,BlackBerry OS,15.03
1/1/11,Samsung,4.33
1/1/11,Unknown,5.21
1/1/11,Windows Phone,0.14
1/1/11,Sony Ericsson,3.91
1/1/11,Linux,0
1/1/11,bada,0
1/1/11,Nokia Unknown,0
1/1/11,LG,0.12
1/1/11,Playstation,0.39
1/1/11,WinCE,0.37
1/1/11,Nintendo 3DS,0
1/1/11,Nintendo,0.16
1/1/11,webOS,0.25
1/1/11,WinXP,0
1/1/11,Brew,0
1/1/11,Motorola,0
1/1/11,Win7,0
1/1/11,MeeGo,0
1/1/11,Maemo 5,0.13
1/1/11,WinVista,0
1/1/11,Other,0.09
2/1/11,Android,15.16
2/1/11,iOS,24.56
2/1/11,SymbianOS,30.66
2/1/11,Series 40,0
2/1/11,BlackBerry OS,14.52
2/1/11,Samsung,4.51
2/1/11,Unknown,5.14
2/1/11,Windows Phone,0.26
2/1/11,Sony Ericsson,3.86
2/1/11,Linux,0
2/1/11,bada,0
2/1/11,Nokia Unknown,0
2/1/11,LG,0.11
2/1/11,Playstation,0.34
2/1/11,WinCE,0.35
2/1/11,Nintendo 3DS,0
2/1/11,Nintendo,0.13
